id,name,weight,height,armSpan,legSwing,weightCategory.id,weightCategory.name,dateOfBirth,country,city,timezone
874,Roan Carneiro,77.11,180.34,187.96,106.68,7,Средний вес,1978-06-02,Brazil,Rio de Janeiro,America/Sao_Paulo
875,Michinori Tanaka,61.24,165.1,170.18,93.98,4,Полулегкий вес,1990-10-04,Japan,Yokohama,Asia/Tokyo
876,JC Cottrell,70.31,175.26,180.34,101.6,6,Полусредний вес,1989-11-04,USA,Oklahoma City,America/Chicago
877,Viktor Pesta,108.86,190.5,195.58,114.3,9,Тяжелый вес,1990-07-15,Czech Republic,Příbram,Europe/Prague
878,Jocelyn Jones-Lybarger,52.16,170.18,162.56,96.52,10,Женский минимальный вес,1985-10-04,USA,,America/New_York
879,Brandon Thatch,77.11,187.96,187.96,109.22,7,Средний вес,1985-07-11,USA,Denver,America/Denver
880,Cole Miller,65.77,185.42,187.96,104.14,4,Полулегкий вес,1984-04-26,USA,Augusta,America/New_York
881,James Moontasri,77.11,177.8,180.34,104.14,7,Средний вес,1988-04-10,Germany,Frankfurt,Europe/Berlin
882,Takeya Mizugaki,61.24,170.18,172.72,96.52,4,Полулегкий вес,1983-12-16,Japan,Ibaragi,Asia/Tokyo
883,Fredy Serrano,56.7,160.02,165.1,91.44,2,Наилегчайший вес,1979-09-22,Colombia,Bogota,America/Bogota
884,Valerie Letourneau,52.16,170.18,172.72,93.98,11,Женский наилегчайший вес,1983-04-29,Canada,Montreal,America/Montreal
885,Zach Makovsky,56.7,162.56,162.56,91.44,2,Наилегчайший вес,1983-04-19,USA,Bethlehem,America/New_York
886,Sean O'Connell,92.99,185.42,187.96,106.68,8,Полутяжелый вес,1983-09-02,,,
887,Tiago Trator,65.77,175.26,177.8,104.14,4,Полулегкий вес,1987-04-12,Brazil,Laranjal do Jari,America/Sao_Paulo
888,Joe Gigliotti,83.91,180.34,175.26,99.06,7,Средний вес,1993-08-13,USA,Cleveland,America/New_York
889,Brendan O'Reilly,77.11,170.18,175.26,101.6,7,Средний вес,1987-06-24,,,
890,Elvis Mutapcic,83.91,182.88,182.88,106.68,7,Средний вес,1986-07-19,Bosnia,Sarajevo,Europe/Sarajevo
891,Yusuke Kasuya,70.31,170.18,170.18,96.52,6,Полусредний вес,1989-11-16,Japan,,Asia/Tokyo
892,Seohee Ham,52.16,157.48,157.48,88.9,10,Женский минимальный вес,1987-03-08,South Korea,Gangwon,Asia/Seoul
893,Richard Walsh,77.11,182.88,185.42,101.7,7,Средний вес,1988-12-01,Australia,,Australia/Brisbane
894,Ning Guangyou,65.77,162.56,162.56,101.6,4,Полулегкий вес,1981-12-15,,,
895,Geane Herrera,56.7,165.1,167.64,91.44,2,Наилегчайший вес,1990-05-27,USA,Duarte,America/New_York
896,Yao Zhikui,56.7,165.1,162.56,96.52,2,Наилегчайший вес,1991-02-07,,,
897,Ryan Bader,92.99,187.96,187.96,111.76,8,Полутяжелый вес,1983-06-07,USA,Reno,America/Los_Angeles
898,Kyoji Horiguchi,56.7,165.1,167.64,93.98,2,Наилегчайший вес,1990-10-12,Japan,Takasaki,Asia/Tokyo
899,Ali Bagautinov,56.7,162.56,165.1,91.44,2,Наилегчайший вес,1985-06-10,Russia,,Europe/Moscow
900,Milana Dudieva,61.24,160.02,154.94,93.98,12,Женский легчайший вес,1989-08-04,Russia,Vladikavkaz,Europe/Moscow
901,Erick Montano,77.11,182.88,185.42,106.68,7,Средний вес,1985-11-19,Mexico,,America/Mexico_City
902,Erik Perez,61.24,172.72,172.72,99.06,4,Полулегкий вес,1989-11-19,Mexico,Monterrey,America/Bogota
903,Jason Novelli,70.31,182.88,190.5,106.68,6,Полусредний вес,1979-06-08,USA,Anchorage,America/Anchorage
904,Chris Avila,65.77,177.8,182.88,99.06,4,Полулегкий вес,1993-01-16,USA,,America/New_York
905,Lukasz Sajewski,70.31,172.72,180.34,99.06,6,Полусредний вес,1990-11-27,Poland,,Europe/Warsaw
906,Albert Tumenov,77.11,180.34,185.42,99.06,7,Средний вес,1991-12-26,Russia,,Europe/Moscow
907,Tamdan McCrory,83.91,193.04,198.12,101.7,7,Средний вес,1986-11-05,USA,Ithaca,America/New_York
908,Cody East,111.13,190.5,187.96,104.14,9,Тяжелый вес,1988-06-29,USA,,America/New_York
909,Kelly Faszholz,61.24,172.72,170.18,101.6,12,Женский легчайший вес,1985-04-09,USA,Dallas,America/Chicago
910,Antonio Silva,119.75,193.04,203.2,109.22,9,Тяжелый вес,1979-09-14,,,
911,Hector Urbina,77.11,180.34,185.42,101.6,7,Средний вес,1987-09-17,USA,,America/New_York
912,Glaico Franca,70.31,182.88,195.58,109.22,6,Полусредний вес,1991-02-28,Brazil,Curitibanos,America/Sao_Paulo
913,Kenny Robertson,77.11,177.8,187.96,101.7,7,Средний вес,1984-02-14,USA,East Peoria,America/New_York
914,Maximo Blanco,65.77,172.72,180.34,93.98,4,Полулегкий вес,1983-10-16,Venezuela,Coro,America/Caracas
915,Leonardo Augusto Leleco,83.91,182.88,185.42,104.14,7,Средний вес,1982-04-15,,,
916,Augusto Montano,77.11,185.42,185.42,109.22,7,Средний вес,1984-10-25,Mexico,Mexico City,America/Mexico_City
917,Joey Gomez,70.31,177.8,180.34,101.6,4,Полулегкий вес,1989-08-29,USA,Denver,America/Denver
918,Caio Magalhaes,83.91,185.42,185.42,106.68,7,Средний вес,1987-12-14,Brazil,Sobral,America/Sao_Paulo
919,Sean Spencer,77.11,177.8,190.5,104.14,7,Средний вес,1987-06-25,USA,Bluefield,America/New_York
920,Nicolas Dalby,77.11,180.34,187.96,109.22,7,Средний вес,1984-11-16,Denmark,,Europe/Copenhagen
921,Taylor Lapilus,61.24,167.64,185.42,109.22,4,Полулегкий вес,1992-04-08,France,,Europe/Paris
922,Leandro Issa,61.24,170.18,175.26,99.06,4,Полулегкий вес,1983-09-19,Brazil,Ubatuba,America/Sao_Paulo
923,Leandro Silva,70.31,175.26,182.88,106.68,6,Полусредний вес,1985-11-11,Brazil,,America/Sao_Paulo
924,Kevin Casey,83.91,180.34,195.58,104.14,7,Средний вес,1981-06-15,USA,Hawthorne,America/Los_Angeles
925,Shane Campbell,70.31,182.88,180.34,104.14,6,Полусредний вес,1987-01-21,Canada,St. Catharines,America/Montreal
926,Rick Story,77.11,175.26,180.34,101.6,7,Средний вес,1984-08-28,USA,Tacoma,America/Los_Angeles
927,Elizabeth Phillips,61.24,167.64,165.1,93.98,12,Женский легчайший вес,1986-08-20,USA,Omak,America/Los_Angeles
928,Lorenz Larkin,77.11,180.34,182.88,104.14,7,Средний вес,1986-09-03,USA,Riverside,America/Los_Angeles
929,Tatsuya Kawajiri,65.77,170.18,175.26,99.06,4,Полулегкий вес,1978-05-08,Japan,Inashiki,Asia/Tokyo
930,Horacio Gutierrez,65.77,177.8,175.26,101.6,4,Полулегкий вес,1990-09-15,Mexico,Guadalajara,America/Mexico_City
931,Francisco Rivera,61.24,172.72,172.72,96.52,4,Полулегкий вес,1981-10-08,,,
932,Michael Graves,77.11,177.8,180.34,99.06,7,Средний вес,1991-01-08,USA,,America/New_York
933,Cesar Arzamendia,70.31,180.34,180.34,106.68,6,Полусредний вес,1991-01-31,Paraguay,Luque,America/Asuncion
934,Jim Alers,65.77,175.26,180.34,101.6,4,Полулегкий вес,1986-10-14,USA,,America/New_York
935,Michael McDonald,92.99,180.34,177.8,99.06,4,Полулегкий вес,1965-02-06,USA,Oakdale,America/Los_Angeles
936,Josh Samman,83.91,190.5,190.5,109.22,7,Средний вес,1988-03-14,USA,,America/New_York
937,Cristina Stanciu,52.16,160.02,162.56,99.06,10,Женский минимальный вес,1994-03-29,Romania,Bucharest,Europe/Bucharest
938,Cody Pfister,70.31,177.8,185.42,101.6,6,Полусредний вес,1990-07-12,USA,,America/New_York
939,Enrique Marin,77.11,177.8,187.96,101.6,7,Средний вес,1986-09-02,Spain,Seville,Europe/Madrid
940,Cory Hendricks,92.99,190.5,196.0,101.7,8,Полутяжелый вес,1988-05-10,USA,,America/New_York
941,Anton Zafir,77.11,180.34,182.88,99.06,7,Средний вес,1987-05-10,Australia,,Australia/Brisbane
942,Mehdi Baghdad,70.31,185.42,190.5,101.6,6,Полусредний вес,1985-04-13,France,,Europe/Paris
943,Anthony Birchak,61.24,172.72,175.26,99.06,4,Полулегкий вес,1986-05-16,USA,Tucson,America/Phoenix
944,Dileno Lopes,61.24,165.1,165.1,93.98,4,Полулегкий вес,1984-09-26,Brazil,,America/Sao_Paulo
945,Jerrod Sanders,61.24,172.72,182.88,99.06,4,Полулегкий вес,1979-10-01,USA,,America/New_York
946,Rory MacDonald,77.11,182.88,193.04,104.14,7,Средний вес,1989-07-22,Canada,Quesnel,America/Vancouver
947,Chris Beal,56.7,170.18,175.26,96.52,4,Полулегкий вес,1985-08-06,USA,Brooklyn,America/New_York
948,Yan Cabral,70.31,180.34,185.42,101.6,6,Полусредний вес,1983-05-13,Brazil,Rio de Janeiro,America/Sao_Paulo
949,Willie Gates,56.7,172.72,177.8,99.06,2,Наилегчайший вес,1987-01-21,USA,Fontana,
950,Chris Kelades,56.7,170.18,172.72,96.52,2,Наилегчайший вес,1981-02-21,Canada,Dartmouth,America/Montreal
951,Clint Hester,92.99,187.96,195.58,101.7,8,Полутяжелый вес,1986-11-21,USA,,America/New_York
952,Efrain Escudero,70.31,175.26,177.8,101.6,6,Полусредний вес,1986-01-15,Mexico,San Luis Rio Colorado,America/Hermosillo
953,Gabriel Gonzaga,109.77,187.96,193.04,106.68,9,Тяжелый вес,1979-05-18,Brazil,Rio de Janeiro,America/Sao_Paulo
954,Ian Entwistle,61.24,165.1,162.56,88.9,4,Полулегкий вес,1986-11-19,England,,
955,Rob Whiteford,65.77,175.26,175.26,101.7,4,Полулегкий вес,1983-04-12,,,
956,Lucas Martins,65.77,182.88,182.88,101.7,4,Полулегкий вес,1988-11-11,Brazil,Montes Claros,America/Sao_Paulo
957,Rin Nakai,61.24,154.94,152.4,91.44,12,Женский легчайший вес,1986-10-22,Japan,Ehime,Asia/Tokyo
958,Mark Eddiva,65.77,172.72,172.72,99.06,4,Полулегкий вес,1986-02-16,Philippines,,Asia/Manila
959,Viscardi Andrade,77.11,180.34,190.5,101.6,7,Средний вес,1984-03-08,Brazil,Jales,America/Sao_Paulo
960,Justin Salas,70.31,172.72,177.8,101.7,6,Полусредний вес,1982-03-13,USA,Green River,Pacific/Port_Moresby
961,Mike Wilkinson,65.77,170.18,172.72,101.7,4,Полулегкий вес,1987-09-15,England,,
962,Yaotzin Meza,65.77,175.26,187.96,99.06,4,Полулегкий вес,1981-02-04,USA,Santa Ana,Pacific/Guadalcanal
963,Chris Dempsey,83.91,177.8,182.88,101.6,7,Средний вес,1987-09-08,USA,Ambridge,
964,Norman Parke,70.31,180.34,177.8,101.6,6,Полусредний вес,1986-12-22,Northern Ireland,,
965,Martin Svensson,70.31,185.42,182.88,106.68,6,Полусредний вес,1985-04-25,Sweden,Horby,Europe/Stockholm
966,Joe Riggs,83.91,182.88,177.8,93.98,7,Средний вес,1982-09-23,USA,Sanford,America/New_York
967,Jonavin Webb,77.11,177.8,180.34,104.14,7,Средний вес,1989-04-28,USA,,America/New_York
968,Jared Rosholt,120.2,187.96,190.5,104.14,14,Не определена,1986-08-04,USA,,America/New_York
969,Rafael Feijao,92.99,185.42,185.42,104.14,8,Полутяжелый вес,1980-04-14,,,
970,KJ Noons,70.31,177.8,182.88,99.06,6,Полусредний вес,1982-12-07,USA,Kailu-Kona,America/New_York
971,Noad Lahat,65.77,175.26,175.26,96.52,4,Полулегкий вес,1984-06-08,Israel,Samara,Europe/Samara
972,Damon Jackson,65.77,180.34,180.34,104.14,4,Полулегкий вес,1988-08-08,USA,,America/New_York
973,Levan Makashvili,65.77,172.72,172.72,99.06,4,Полулегкий вес,1989-01-07,USA,,America/New_York
974,Masio Fullen,65.77,177.8,177.8,101.7,4,Полулегкий вес,1986-10-06,Mexico,Gudalajara,America/Mexico_City
975,Matt Dwyer,77.11,193.04,193.04,111.76,7,Средний вес,1989-12-17,Canada,Kelowna,America/Vancouver
976,Felipe Olivieri,70.31,175.26,182.88,101.6,6,Полусредний вес,1985-04-12,Brazil,,America/Sao_Paulo
977,Matt Mitrione,120.2,190.5,190.5,109.22,14,Не определена,1978-07-15,USA,Springfield,America/Chicago
978,Daron Cruickshank,70.31,172.72,182.88,101.7,6,Полусредний вес,1985-06-11,USA,Westland,
979,Diego Brandao,65.77,170.18,172.72,96.52,4,Полулегкий вес,1987-05-27,Brazil,Fortaleza,America/Fortaleza
980,Tony Sims,70.31,180.34,177.8,106.68,6,Полусредний вес,1985-10-14,USA,Davenport,America/Chicago
981,Masanori Kanehara,61.24,170.18,170.18,101.6,4,Полулегкий вес,1982-11-19,Japan,Musashimurayama,Asia/Tokyo
982,Edgar Garcia,77.11,177.8,180.34,99.06,7,Средний вес,1984-02-22,USA,Bryan,America/Chicago
983,Danny Castillo,70.31,175.26,180.34,101.7,6,Полусредний вес,1979-08-25,USA,San Francisco,America/Los_Angeles
984,Sarah Kaufman,61.24,165.1,170.18,99.06,12,Женский легчайший вес,1985-09-20,Canada,Victoria,America/Chicago
985,Hayder Hassan,77.11,177.8,177.8,96.52,7,Средний вес,1982-10-20,USA,Coconut Creek,
986,Marcin Wrzosek,70.31,175.26,178.0,101.7,6,Полусредний вес,1987-10-14,Poland,,Europe/Warsaw
987,Mike Pierce,77.11,172.72,177.8,101.7,7,Средний вес,1980-09-01,USA,Portland,America/Los_Angeles
988,Konstantin Erokhin,104.33,180.34,185.42,104.14,9,Тяжелый вес,1983-01-31,Russia,,Europe/Moscow
989,Abner Lloveras,70.31,180.34,180.34,101.7,6,Полусредний вес,1982-09-04,Spain,Barcelona,Europe/Madrid
990,John Howard,77.11,170.18,180.34,101.6,7,Средний вес,1983-03-01,USA,Dorchester,America/New_York
991,Andreas Stahl,77.11,180.34,185.42,106.68,7,Средний вес,1988-05-20,Sweden,,Europe/Stockholm
992,Emily Peters Kagan,52.16,160.02,167.64,93.98,10,Женский минимальный вес,1981-07-14,,,
993,Benson Henderson,77.11,175.26,177.8,96.52,7,Средний вес,1983-11-16,USA,Colorado Springs,America/Denver
994,Yui Chul Nam,65.77,175.26,175.26,104.14,4,Полулегкий вес,1981-07-16,South Korea,,Asia/Seoul
995,Scott Jorgensen,61.24,165.1,167.64,93.98,4,Полулегкий вес,1982-09-17,USA,Payson,America/Phoenix
996,Vernon Ramos,77.11,167.64,182.88,101.6,6,Полусредний вес,1992-06-03,Panama,,America/Panama
997,Valmir Lazaro,70.31,182.88,185.42,106.68,6,Полусредний вес,1985-08-15,Brazil,Salvador,America/Bahia
998,Akbarh Arreola,70.31,177.8,180.34,101.6,6,Полусредний вес,1983-01-14,Mexico,Tijuana,America/Tijuana
999,Anthony Perosh,92.99,190.5,190.5,111.76,8,Полутяжелый вес,1972-10-05,Australia,Sydney,Australia/Sydney
1000,Richie Vaculik,56.7,167.64,175.26,104.14,2,Наилегчайший вес,1983-06-19,Australia,,Australia/Brisbane
1001,Danny Martinez,56.7,167.64,170.18,101.7,4,Полулегкий вес,1985-06-14,USA,Tempe,
1002,Steve Montgomery,83.91,193.04,190.5,111.76,7,Средний вес,1990-12-19,USA,Florence,America/New_York
1003,Steve Kennedy,77.11,180.34,180.34,109.22,7,Средний вес,1983-03-07,,,
1004,Piotr Hallmann,70.31,175.26,180.34,104.14,6,Полусредний вес,1987-08-25,Poland,,Europe/Warsaw
1005,Fabio Maldonado,92.99,185.42,190.5,104.14,8,Полутяжелый вес,1980-03-17,Brazil,Sorocaba,America/Sao_Paulo
1006,Thiago Tavares,65.77,170.18,172.72,99.06,4,Полулегкий вес,1984-11-08,Brazil,Florianopolis,America/Sao_Paulo
1007,Gasan Umalatov,77.11,180.34,180.34,104.14,7,Средний вес,1982-09-11,Russia,,Europe/Moscow
1008,Kevin Souza,65.77,182.88,187.96,111.76,4,Полулегкий вес,1984-10-17,,,
1009,Bruno Korea,61.24,167.64,165.1,101.7,4,Полулегкий вес,1991-06-28,,,
1010,Jon Delos Reyes,56.7,167.64,170.18,99.06,2,Наилегчайший вес,1987-08-19,USA,Ordot Chalan Pago,Pacific/Guam
1011,Ericka Almeida,52.16,167.64,172.72,96.52,10,Женский минимальный вес,1989-03-05,Brazil,,America/Sao_Paulo
1012,Cathal Pendred,77.11,185.42,190.5,104.14,7,Средний вес,1987-09-02,USA,Boston,America/New_York
1013,Bubba Bush,83.91,182.88,185.42,101.7,7,Средний вес,1985-07-24,USA,Mississippi,America/New_York
1014,Shawn Jordan,117.93,182.88,190.5,101.7,9,Тяжелый вес,1984-10-21,USA,El Paso,America/Denver
1015,Chris Cariaso,56.7,160.02,160.02,101.7,2,Наилегчайший вес,1981-05-27,USA,San Jose,America/Los_Angeles
1016,Francisco Trevino,70.31,175.26,177.8,101.7,6,Полусредний вес,1981-12-17,USA,,America/New_York
1017,Clay Collard,65.77,180.34,185.42,101.7,4,Полулегкий вес,1993-03-10,USA,,America/New_York
1018,Ron Stallings,77.11,187.96,190.5,101.7,7,Средний вес,1983-01-25,,,
1019,Yves Jabouin,61.24,170.18,172.72,101.7,4,Полулегкий вес,1979-05-30,Haiti,Port-au-Prince,America/Port-au-Prince
1020,Elias Silverio,70.31,180.34,185.42,101.7,6,Полусредний вес,1986-09-22,Brazil,Pirapora do Bom Jesus,America/Sao_Paulo
1021,Tom Watson,83.91,185.42,185.42,101.7,7,Средний вес,1982-07-13,England,Southampton,Europe/London
1022,Roman Salazar,61.24,170.18,170.18,101.7,4,Полулегкий вес,1988-02-21,USA,Mammoth,
1023,Sirwan Kakai,61.24,165.1,167.64,101.7,4,Полулегкий вес,1989-10-03,Sweden,,Europe/Stockholm
1024,Anthony Christodoulou,70.31,175.26,182.88,101.7,6,Полусредний вес,1987-07-30,,,
1025,Soa Palelei,120.2,193.04,205.74,101.7,14,Не определена,1977-07-12,Australia,Newcastle,America/Denver
1026,Hugo Viana,61.24,167.64,170.18,101.7,4,Полулегкий вес,1982-09-26,Brazil,Salvador,America/Bahia
1027,Ramsey Nijem,70.31,180.34,190.5,101.7,6,Полусредний вес,1988-04-01,USA,Concord,America/Los_Angeles
1028,Jessamyn Duke,61.24,180.34,185.42,101.7,12,Женский легчайший вес,1986-06-24,USA,Blackey,
1029,Ivan Jorge,70.31,175.26,185.42,101.7,6,Полусредний вес,1980-11-07,Brazil,Florianopolis,America/Sao_Paulo
1030,Leonardo Mafra,70.31,177.8,177.8,101.7,6,Полусредний вес,1989-04-25,Brazil,,America/Sao_Paulo
1031,Pawel Pawlak,77.11,182.88,185.42,101.7,7,Средний вес,1989-02-08,Poland,Łódź,Europe/Warsaw
1032,Vaughan Lee,56.7,167.64,167.64,101.7,4,Полулегкий вес,1982-10-15,United Kingdom,Birmingham,America/Chicago
1033,Hans Stringer,92.99,190.5,185.42,101.7,8,Полутяжелый вес,1987-07-06,Netherlands,,Europe/Amsterdam
1034,Marcus Brimage,61.24,162.56,180.34,101.7,4,Полулегкий вес,1985-04-06,USA,Colorado Springs,America/Denver
1035,Paul Redmond,65.77,177.8,177.8,101.7,4,Полулегкий вес,1986-10-20,Ireland,Dublin,America/New_York
1036,Josh Thomson,70.31,177.8,180.34,101.7,6,Полусредний вес,1978-09-21,USA,San Jose,America/Los_Angeles
1037,Igor Araujo,77.11,185.42,195.58,101.7,7,Средний вес,1980-12-06,Brazil,Patos de Minas,America/Sao_Paulo
1038,Ildemar Alcantara,83.91,187.96,198.12,101.7,7,Средний вес,1982-11-18,,,
1039,Andrew Craig,77.11,185.42,193.04,101.7,7,Средний вес,1986-01-15,USA,Austin,America/Los_Angeles
1040,Filip Pejic,61.24,172.72,177.8,101.7,4,Полулегкий вес,1992-07-21,Croatia,,Europe/Zagreb
1041,Dan Miller,83.91,185.42,187.96,101.7,7,Средний вес,1981-06-30,USA,Sparta,America/Chicago
1042,Darrell Montague,56.7,167.64,170.18,101.7,2,Наилегчайший вес,1987-11-03,USA,,America/New_York
1043,Eddie Gordon,83.91,182.88,193.04,101.7,7,Средний вес,1983-07-22,Jamaica,,America/Jamaica
1044,Antonio Dos Santos,83.91,177.8,182.88,101.7,7,Средний вес,1988-07-21,Brazil,,America/Sao_Paulo
1045,Alan Omer,65.77,177.8,180.34,101.7,4,Полулегкий вес,1988-09-14,Iraq,Arbil,Asia/Baghdad
1046,Niklas Backstrom,65.77,185.42,187.96,101.7,4,Полулегкий вес,1989-08-22,Sweden,,Europe/Stockholm
1047,Chico Camus,56.7,167.64,167.64,101.7,2,Наилегчайший вес,1985-01-26,USA,Milwaukee,America/Chicago
1048,Brian Ebersole,77.11,182.88,185.42,101.7,7,Средний вес,1980-11-27,USA,La Porte,America/New_York
1049,Justin Edwards,70.31,177.8,177.8,101.7,6,Полусредний вес,1983-01-26,USA,Mansfield,America/New_York
1050,Leonardo Morales,61.24,172.72,172.72,101.7,4,Полулегкий вес,1992-12-22,Nicaragua,Managua,America/Managua
1051,Ryan Jimmo,92.99,185.42,185.42,101.7,8,Полутяжелый вес,1981-11-27,Canada,Saint John New Brunswick,America/Montreal
1052,Wendell Oliveira,77.11,177.8,182.88,101.7,7,Средний вес,1983-06-01,Brazil,,America/Sao_Paulo
1053,Luiz Dutra,77.11,180.34,180.34,101.7,7,Средний вес,1982-05-06,,,
1054,Joshua Sampo,56.7,162.56,162.56,101.7,2,Наилегчайший вес,1984-07-24,,,
1055,Hatsu Hioki,65.77,180.34,177.8,101.7,4,Полулегкий вес,1983-07-18,Japan,Nagoya,Asia/Tokyo
1056,Lisa Ellis,52.16,162.56,157.48,101.7,10,Женский минимальный вес,1982-11-15,USA,Woodinville,
1057,Dylan Andrews,83.91,185.42,185.42,101.7,7,Средний вес,1979-11-15,Australia,,Australia/Brisbane
1058,Alptekin Ozkilic,56.7,165.1,165.1,101.7,2,Наилегчайший вес,1986-03-27,,,
1059,Vik Grujic,77.11,180.34,185.42,101.7,7,Средний вес,1977-02-06,Australia,,Australia/Brisbane
1060,Rampage Jackson,92.99,185.42,185.42,101.7,8,Полутяжелый вес,1978-06-20,,,
1061,David Michaud,70.31,175.26,182.88,101.7,6,Полусредний вес,1988-11-10,USA,Pine Ridge,America/Denver
1062,Chris Clements,77.11,177.8,177.8,101.7,7,Средний вес,1976-02-09,Canada,Chatham,America/Sitka
1063,Jessica Rakoczy,52.16,170.18,172.72,101.7,10,Женский минимальный вес,1977-04-14,Canada,Hamilton,America/Chicago
1064,Mirko Cro Cop,104.33,187.96,185.42,101.7,9,Тяжелый вес,1974-09-10,,,
1065,Seth Baczynski,77.11,190.5,187.96,101.7,7,Средний вес,1981-10-26,USA,Kawaii,America/New_York
1066,Izabela Badurek,52.16,165.1,165.0,101.7,10,Женский минимальный вес,1991-07-11,Poland,Lublin,Europe/Warsaw
1067,Marcin Bandel,70.31,177.8,177.8,101.7,6,Полусредний вес,1989-10-10,Poland,Pabianice,Europe/Warsaw
1068,Rocky Lee,65.77,175.26,172.72,101.7,4,Полулегкий вес,1987-04-08,Taiwan,,Asia/Taipei
1069,Robert Peralta,65.77,172.72,180.34,101.7,4,Полулегкий вес,1986-03-14,,,
1070,Josh Koscheck,77.11,177.8,185.42,101.7,7,Средний вес,1977-11-30,USA,Waynesburg,America/New_York
1071,Shayna Baszler,61.24,170.18,170.18,101.7,12,Женский легчайший вес,1980-08-08,USA,,America/New_York
1072,Katsunori Kikuno,65.77,172.72,167.64,101.7,4,Полулегкий вес,1981-10-31,Japan,,Asia/Tokyo
1073,Bentley Syler,56.7,162.56,172.72,101.7,2,Наилегчайший вес,1982-12-22,Bolivia,Santa Cruz de la Sierra,America/La_Paz
1074,Cain Carrizosa,70.31,172.72,187.96,101.7,6,Полусредний вес,1986-07-22,USA,,America/New_York
1075,Jorge de Oliveira,70.31,172.72,180.34,101.7,7,Средний вес,1980-01-22,Brazil,,America/Sao_Paulo
1076,Roger Narvaez,83.91,190.5,190.5,101.7,7,Средний вес,1983-09-09,USA,,America/New_York
1077,Josh Copeland,120.2,185.42,190.5,101.7,9,Тяжелый вес,1982-10-20,USA,,America/New_York
1078,Jake Lindsey,70.31,180.34,180.34,101.7,6,Полусредний вес,1986-06-21,USA,Manhattan,America/Chicago
1079,Ruan Potts,112.04,187.96,190.5,101.7,9,Тяжелый вес,1978-02-23,South Africa,,Africa/Johannesburg
1080,Alex Torres,65.77,177.8,177.8,101.7,4,Полулегкий вес,1988-05-29,,,
1081,William Patolino,77.11,180.34,190.5,101.7,7,Средний вес,1991-07-01,,,
1082,Cody Gibson,61.24,177.8,180.34,101.7,4,Полулегкий вес,1987-09-11,USA,Blackwell,America/Chicago
1083,Josh Shockley,70.31,185.42,187.96,101.7,6,Полусредний вес,1989-11-15,USA,,America/New_York
1084,Patrick Walsh,83.91,180.34,180.34,101.7,7,Средний вес,1988-11-28,,,
1085,Rodrigo de Lima,70.31,170.18,190.5,101.7,6,Полусредний вес,1991-03-12,Brazil,,America/Sao_Paulo
1086,Ian McCall,56.7,165.1,162.56,101.7,4,Полулегкий вес,1984-05-07,USA,Costa Mesa,
1087,Richardson Moreira,83.91,187.96,182.88,101.7,7,Средний вес,1984-03-31,Brazil,,America/Sao_Paulo
1088,Andy Enz,83.91,190.5,198.12,101.7,7,Средний вес,1991-08-15,USA,Anchorage,America/Anchorage
1089,Phil Davis,92.99,187.96,187.96,101.7,8,Полутяжелый вес,1984-09-25,USA,Harrisburg,America/Chicago
1090,Akira Corassani,65.77,172.72,172.72,101.7,4,Полулегкий вес,1982-08-27,Sweden,Gothenburg,Europe/Stockholm
1091,Stanislav Nedkov,92.99,180.34,180.34,101.7,8,Полутяжелый вес,1981-12-09,Bulgaria,Veliko Tarnovo,Europe/Sofia
1092,Andy Ogle,65.77,172.72,175.26,101.7,4,Полулегкий вес,1989-02-16,England,,
1093,Zhang Lipeng,70.31,180.34,180.34,101.7,6,Полусредний вес,1990-03-10,,,
1094,Shane Howell,56.7,172.72,175.26,101.7,2,Наилегчайший вес,1983-11-28,USA,,America/New_York
1095,Matt Van Buren,92.99,195.58,193.04,101.7,8,Полутяжелый вес,1986-06-12,USA,,America/New_York
1096,Sean Soriano,65.77,175.26,177.8,101.7,4,Полулегкий вес,1989-10-06,USA,Providence,America/New_York
1097,Tateki Matsuda,56.7,170.18,165.1,101.7,2,Наилегчайший вес,1986-02-27,Japan,Tokyo,Asia/Tokyo
1098,Louis Gaudinot,56.7,160.02,160.02,101.7,2,Наилегчайший вес,1984-08-28,USA,Yonkers,America/New_York
1099,Alexis Dufresne,61.24,175.26,172.72,101.7,12,Женский легчайший вес,1990-08-31,USA,Temecula,America/New_York
1100,Mike Rhodes,77.11,185.42,187.96,101.7,7,Средний вес,1989-12-04,USA,Waterloo,America/Chicago
1101,Tom Niinimaki,65.77,175.26,175.26,101.7,4,Полулегкий вес,1982-07-25,Finland,Turku,Europe/Helsinki
1102,Jamie Varner,70.31,172.72,182.88,101.7,6,Полусредний вес,1984-10-12,USA,Phoenix,America/Phoenix
1103,Dustin Kimura,61.24,170.18,180.34,101.7,4,Полулегкий вес,1989-05-21,USA,Honolulu,Pacific/Honolulu
1104,Garett Whiteley,70.31,182.88,182.88,101.7,6,Полусредний вес,1980-12-13,USA,Indianapolis,America/Indiana/Indianapolis
1105,Matt Hobar,61.24,177.8,177.8,101.7,4,Полулегкий вес,1987-01-07,USA,,America/New_York
1106,Isaac Vallie-Flagg,70.31,172.72,172.72,101.7,6,Полусредний вес,1978-04-08,USA,Ann Arbor,America/Detroit
1107,Luke Barnatt,83.91,198.12,195.58,101.7,7,Средний вес,1988-04-13,England,,
1108,Juan Puig,65.77,175.26,182.88,101.7,4,Полулегкий вес,1989-04-23,,,
